idParroquiaSalud;idParroquias;idSalud;Parr_ubi
703;;8;Gonzanamá
704;459;113;Changaimina (La Libertad)
705;;113;Purunuma (Eguiguren)
706;;113;Sacapalca
707;;113;Nambacola
708;;113;San Antonio de Las Aradas (Cab. en Las Aradas)
709;;113;Sabiango (La Capilla)
710;;113;Larama
711;466;113;La Victoria
712;467;113;Chaguarpamba
713;;113;Olmedo
714;469;113;Cangonamá
715;;110;Orianga
716;236;110;Buenavista
717;;110;El Rosario
718;;113;Lauro Guerrero
719;474;113;Casanga
720;317;113;Selva Alegre
721;;110;La Tingue
722;;113;Santa Rufina
723;;113;Guachanamá
724;;113;Mangahurco
725;;113;El Limo (Mariana de Jesús)
726;;113;Vicentino
727;;113;Paletillas
728;;110;Mangahurco
729;483;110;Ciano
730;;113;Manú
731;;113;San Antonio de Qumbe (Cumbe)
732;;110;Saraguro
733;;113;Saraguro
734;;113;Urdaneta (Paquishapa)
735;;113;El Paraíso de Celén
736;;110;San Sebastián de Yúluc
737;;113;Tacamoros
738;;113;San Pablo de Tenta
739;;110;Nueva Fátima
740;;113;Santa Teresita
741;;110;Tacamoros
742;;30;Loja
743;;113;Loja
744;;113;Sozoranga
745;;110;San Pablo de Tenta
746;;110;Sozoranga
747;494;110;San Antonio
748;;110;Mercadillo
749;496;110;Chaquinal
750;;67;Loja
751;;62;Loja
752;;94;Loja
753;;54;Loja
754;;52;Loja
755;427;52;Cariamanga
756;449;52;Celica
757;;52;Macará
758;;111;Macará
759;427;111;Cariamanga
760;434;52;Catamayo (La Toma)
761;;114;Loja
762;;49;Loja
763;;34;Loja
764;434;49;Catamayo (La Toma)
765;;57;Loja
766;497;75;Babahoyo
767;497;38;Babahoyo
768;497;79;Babahoyo
769;;38;Quevedo
770;;66;Quevedo
771;14;66;Ricaurte
772;;66;Vinces
773;501;114;La Unión
774;;66;Ventanas
775;503;66;Baba
776;501;113;La Unión
777;;113;Febres Cordero (Las Juntas) (Cab. en Mata de Cacao)
778;;113;Pimocha
779;;113;Montalvo
780;507;113;Caracol
781;;113;Guare
782;;113;Isla de Bejuca
783;22;113;San Juan
784;;113;Puerto Pechiche
785;;113;Puebloviejo
786;;113;Mocache
787;;113;San Carlos
788;;113;San Jacinto de Buena Fé
789;;113;Quevedo
790;;113;Valencia
791;;113;Ventanas
792;;113;Quinsaloma
793;;113;Palenque
794;519;113;Antonio Sotomayor (Cab. en Playas de Vinces)
795;14;113;Ricaurte
796;520;113;Catarama
797;;113;Zapotal
798;497;113;Babahoyo
799;;113;Patricia Pilar
800;;113;Los Ángeles
801;;113;Vinces
802;;102;Quevedo
803;;17;Quevedo
804;497;8;Babahoyo
805;497;54;Babahoyo
806;497;62;Babahoyo
807;;114;Vinces
808;497;114;Babahoyo
809;;51;Vinces
810;;115;Quevedo
811;497;120;Babahoyo
812;;51;Ventanas
813;255;79;Portoviejo
814;525;66;Calceta
815;502;38;Chone
816;502;79;Chone
817;;66;Jipijapa
818;;38;Manta
819;;75;Manta
